pool,poolSym,liquidity,tick0,tickSpacing,token0,token1,fee
0X446ce1e1e4c23529abdd613d3893fba767eb1b8d,NA,NA,NA,000c8,0x020019d77499936f85ff54eafeea81578e608f05,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0Xdf4ac3c6b3d24fc3614029cc30971806e673706b,NA,NA,NA,000c8,0x8df4197669cf7af9fd29d768c932251a0c2e3e94,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0X6a31c005a181763451f15858a5d25ccdd4d21a03,NA,NA,NA,000c8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xcccadc79df2fba3170256189e3e81dc495107eeb,10000
0X921b0500983f32d53301d5c8d30ff4855173d323,NA,NA,NA,000c8,0x56e273522159df73c92ca62e34d447fd02cd08dc,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0X806039d725b0138a8196f5475f6826a917c16988,NA,NA,NA,000c8,0x170cf5afe3bf2371610205e429fdd58c860d38e5,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0Xeda380e8dae252ab94a61a7d4734cbcaabbeee9b,NA,NA,NA,000c8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xeda08209e210abe92f41ed0c1df916b2c6f3bb53,10000
0Xa03cac90050ca587bbf63915d221302d3b8373d1,NA,NA,NA,000c8,0x55d360eb13f0ae45e49d9417e74a010ff4acf3cc,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0X58c07d8f38f2d1bad3200797709ee110f1859a62,NA,NA,NA,000c8,0x70df157235bd15b6fdd97e53862d4c34944a0d0f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0X405f6cf58c8196b1e29139cbdc18b7d21a218d37,NA,NA,NA,000c8,0x2df977613d7546259bbc3b173879ff81b2b279aa,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0X31999dd8f4ec4e35657ef8858359e658538934b8,NA,NA,NA,000c8,0x72ceaf0fb806dfc6693bab2f5fa4d47e0c61cbb1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000
0X1265014dcb775588b076119fc62538acb8e10ab5,NA,NA,NA,000c8,0x77e06c9eccf2e797fd462a92b6d7642ef85b0a44,0xbfe178cf147fda6490f69fe7e6ae038ff09d2980,10000
0X04d575819516b5527efc28375114f333e035f0f7,NA,NA,NA,000c8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xe5866ec35822b4f2a44a24c4ae6ebd09eca31707,10000
0Xa10e1424a4b5a0138c32476a50758a8e8a33ea03,NA,NA,NA,000c8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd973637d6c982a492bdafe6956cc79163f279b2c,10000
